gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HTB2,20259.4339373055,-0.375711436905146,0.446885193261398,-0.840733688586052,0.400497143186757,0.891290925511524
HHF1,9820.51514865945,0.178850404021174,0.535794450340924,0.333804136842725,0.738527361562307,0.906276145364981
HHT1,1538.52109092589,0.0866241682833182,0.412419017410532,0.210039218916741,0.833637063433763,0.914967508646813
POL30,1273.94933309282,0.416499865855933,0.421545098362279,0.988031571174836,0.323137186504133,0.891290925511524
KCC4,315.612125520918,0.218946184918395,0.433730966930595,0.504797216735116,0.6137012708832,0.891290925511524
MCD1,632.488931719281,0.210988552668314,0.36451132658078,0.578825779290445,0.56270673466509,0.891290925511524
MSA1-1of2,11.291089740378,-0.210425137048702,0.303739280756893,-0.692782100900285,0.488446306608357,0.891290925511524
HTB1,4832.30864353322,0.243154067447347,0.399959248079687,0.607947106148429,0.543222555602472,0.891290925511524
SUT476,88.1235501927923,0.993594292176271,0.385680799162782,2.57620886062547,0.00998902876870005,0.076118807353834
APQ12,5422.70914954407,-0.640132968222526,0.236695034043358,-2.70446302690604,0.00684148828323049,0.076118807353834
RNR1,1374.18054701163,-0.381058609407051,0.43359677346854,-0.87883174581487,0.379492510776557,0.891290925511524
SWI4,28.025851550026,0.222340533844401,0.391711830843337,0.567612505769132,0.570298113575102,0.891290925511524
RUF213,1.55629262192119,-0.323811422098673,1.08469195723847,-0.298528462332355,0.765299856085984,0.906276145364981
TUB2,5095.26851280528,0.173009143848948,0.290718539353521,0.595108740686692,0.551770786363622,0.891290925511524
CDC20,216.807415423107,0.788541626924317,0.490883577788106,1.60637198432557,0.108192202631188,0.579211728300086
CLB6,111.037134257205,0.737370596462563,0.544805508812581,1.35345657218056,0.175909814888211,0.719631060906319
CLB1,927.089307926997,-0.145822740968106,0.638408867972964,-0.228415907553279,0.819322923862313,0.914967508646813
TOS2,118.753913213636,-0.148065095494313,0.282796154829883,-0.523575349118103,0.600573930671929,0.891290925511524
FAR1,5927.47016640314,-1.50954451416107,0.675461342176051,-2.23483480090504,0.0254281962175992,0.163466975684566
SUT24,155.788396599493,-0.843624332316721,0.328168473970805,-2.57070498609739,0.0101491743138445,0.076118807353834
LOH1,48.614399134224,2.22596550567831,0.39699967146442,5.60697064928885,2.05898560716575e-08,9.26543523224589e-07
PIR3,304.294496034737,-2.36592534707642,0.608258329264566,-3.88967192596773,0.000100379833111462,0.00164969477834135
MSA2,523.344707202131,-0.0191530405907057,0.559588929183657,-0.0342269826864635,0.972696150070213,0.994802880753627
HIF1,606.438339238614,-0.294660549203417,0.254093419225641,-1.1596543905049,0.246189546719398,0.787509460235216
TUB4,293.931079378973,-0.127691345793903,0.253169285657345,-0.50437139506223,0.614000415352383,0.891290925511524
TUB3,2287.66707707689,-0.208219572730661,0.408047107884349,-0.510283172475458,0.609853090085468,0.891290925511524
TUB33,2.95220541100837,-0.871802559841161,0.554417168213662,-1.57246674494247,0.115842345660017,0.579211728300086
TUB1,2385.15761404733,-0.484325560747663,0.43224274637406,-1.12049436297198,0.262503153411739,0.787509460235216
SUT2873,26.0037153239867,1.42533225709518,0.368545808858871,3.86744937219184,0.000109979651889423,0.00164969477834135
CDC5,1282.05075144642,0.172085181505148,0.479874182034097,0.358604792563983,0.719890761011396,0.906276145364981
CLN1,663.18651512912,-0.292992899839337,0.394838056728038,-0.742058408116289,0.458051948050185,0.891290925511524
TOS6,22057.5141122526,-0.357623826692273,0.509190187712459,-0.702338409738217,0.48246814506453,0.891290925511524
MRPL10,1752.30781120392,-0.0495956053780669,0.209662598756523,-0.236549607188935,0.813006218281766,0.914967508646813
TOM70,1255.70482844605,0.262680558581039,0.216143304862591,1.2153074033361,0.224248869323171,0.787509460235216
POL1,483.190061640283,0.0966752079656975,0.317104028467662,0.304869062789458,0.760465879076257,0.906276145364981
HHT2,8279.9666024416,0.139720736722634,0.344169223991803,0.405965225774986,0.684768151354748,0.906276145364981
HHF2,8678.8232048268,0.174695503084185,0.429408656805526,0.406828088617929,0.684134255136211,0.906276145364981
NRM1,248.793580653346,0.138451220651337,0.431679640677654,0.320726778853863,0.7484174519203,0.906276145364981
MSA1-2of2,342.899858852084,-0.285664739446698,0.499690270377363,-0.571683613593208,0.567536337771363,0.891290925511524
ACM1,140.435903189821,0.733261747404452,0.486412715129462,1.50748885585626,0.13168539822039,0.592584291991753
CLN2,972.307261211228,0.0479888684228612,0.385231139073391,0.124571623514886,0.900862694523426,0.942763284966376
SRP68,1058.41728773984,-0.119864118907728,0.210769057573934,-0.568698841696354,0.569560534017455,0.891290925511524
PRP46,405.577686779305,-0.305705849742933,0.25678643724565,-1.19050621606812,0.233847488301771,0.787509460235216
CLB2,255.693358870761,-0.00103407622925115,0.523174265445269,-0.00197654261218498,0.998422948192819,0.998422948192819
CLB5,190.761834734467,0.0516090334410456,0.327622227709221,0.157526043949774,0.874830284016478,0.937318161446226
